[2025-03-28 18:47:03:0994] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:03:0998] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:04:0001] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:04:0004] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:04:0006] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:04:0009] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:04:0010] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:04:0011] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:04:0014] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:04:0016] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:04:0018] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:04:0020] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:04:0022] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:04:0024] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:04:0026] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
[2025-03-28 18:47:04:0030] | Error    | Manager.cpp              -L4387: [GetImage] The camera is not start work.
